,name,ageDuringRace,points
2380,Kevin Magnussen,26,2.0
2381,Kevin Magnussen,27,0.0
2382,Jenson Button,34,12.0
2383,Jenson Button,35,0.0
2384,Jenson Button,36,0.0
2385,Fernando Alonso,33,8.0
2386,Fernando Alonso,34,0.0
2387,Fernando Alonso,35,1.0
2388,Fernando Alonso,36,4.0
2389,Fernando Alonso,37,0.0
2390,Valtteri Bottas,25,1.0
2391,Valtteri Bottas,26,10.0
2392,Valtteri Bottas,27,0.0
2393,Valtteri Bottas,28,18.0
2394,Valtteri Bottas,29,10.0
2395,Valtteri Bottas,30,0.0
2396,Nico Hülkenberg,27,4.0
2397,Nico Hülkenberg,28,8.0
2398,Nico Hülkenberg,29,6.0
2399,Nico Hülkenberg,30,1.0
2400,Nico Hülkenberg,31,0.0
2401,Nico Hülkenberg,32,0.0
2402,Kimi Räikkönen,35,6.0
2403,Kimi Räikkönen,36,12.0
2404,Kimi Räikkönen,37,0.0
2405,Kimi Räikkönen,38,15.0
2406,Kimi Räikkönen,39,15.0
2407,Kimi Räikkönen,40,12.0
2408,Jean-Éric Vergne,24,0.0
2409,Daniil Kvyat,20,0.0
2410,Daniil Kvyat,21,6.0
2411,Daniil Kvyat,22,0.0
2412,Daniil Kvyat,25,1.0
2413,Sergio Pérez,24,0.0
2414,Sergio Pérez,25,0.0
2415,Sergio Pérez,26,12.0
2416,Sergio Pérez,27,2.0
2417,Sergio Pérez,28,1.0
2418,Sergio Pérez,29,2.0
2419,Adrian Sutil,31,0.0
2420,Esteban Gutiérrez,23,0.0
2421,Esteban Gutiérrez,25,0.0
2422,Romain Grosjean,28,0.0
2423,Romain Grosjean,29,4.0
2424,Romain Grosjean,30,0.0
2425,Romain Grosjean,31,0.0
2426,Romain Grosjean,32,4.0
2427,Romain Grosjean,33,0.0
2428,Pastor Maldonado,29,0.0
2429,Pastor Maldonado,30,1.0
2430,Marcus Ericsson,25,0.0
2431,Marcus Ericsson,26,0.0
2432,Marcus Ericsson,27,0.0
2433,Marcus Ericsson,28,0.0
2434,Sebastian Vettel,27,10.0
2435,Sebastian Vettel,28,15.0
2436,Sebastian Vettel,29,10.0
2437,Sebastian Vettel,30,25.0
2438,Sebastian Vettel,31,8.0
2439,Sebastian Vettel,32,0.0
2440,Lewis Hamilton,29,18.0
2441,Lewis Hamilton,30,18.0
2442,Lewis Hamilton,31,25.0
2443,Lewis Hamilton,32,12.0
2444,Lewis Hamilton,33,25.0
2445,Lewis Hamilton,34,6.0
2446,Felipe Massa,33,15.0
2447,Felipe Massa,34,0.0
2448,Felipe Massa,35,0.0
2449,Felipe Massa,36,6.0
2450,Daniel Ricciardo,25,0.0
2451,Daniel Ricciardo,26,0.0
2452,Daniel Ricciardo,27,4.0
2453,Daniel Ricciardo,28,8.0
2454,Daniel Ricciardo,29,12.0
2455,Daniel Ricciardo,30,8.0
2456,Will Stevens,24,0.0
2458,Felipe Nasr,23,0.0
