,season,name,fault
912,2016,Felipe Nasr,1
913,2015,Carlos Sainz,1
914,2016,Carlos Sainz,1
915,2017,Carlos Sainz,0
916,2018,Carlos Sainz,1
917,2019,Carlos Sainz,1
918,2015,Max Verstappen,1
919,2016,Max Verstappen,1
921,2018,Max Verstappen,1
922,2019,Max Verstappen,1
923,2015,Roberto Merhi,0
924,2016,Jolyon Palmer,0
925,2017,Jolyon Palmer,1
926,2016,Pascal Wehrlein,1
927,2017,Pascal Wehrlein,1
928,2016,Rio Haryanto,1
929,2017,Stoffel Vandoorne,1
930,2018,Stoffel Vandoorne,1
931,2017,Esteban Ocon,1
932,2018,Esteban Ocon,1
933,2019,Antonio Giovinazzi,1
934,2017,Lance Stroll,1
935,2018,Lance Stroll,0
936,2019,Lance Stroll,1
937,2018,Pierre Gasly,1
938,2019,Pierre Gasly,1
939,2018,Brendon Hartley,0
940,2018,Charles Leclerc,1
941,2019,Charles Leclerc,1
942,2018,Sergey Sirotkin,1
944,2019,Alexander Albon,0
945,2019,George Russell,1
946,2019,Robert Kubica,1
947,2014,Nico Rosberg,1
948,2015,Nico Rosberg,1
949,2016,Nico Rosberg,1
950,2014,Kevin Magnussen,1
951,2016,Kevin Magnussen,1
953,2018,Kevin Magnussen,1
954,2019,Kevin Magnussen,1
956,2020,Kevin Magnussen,1
957,2014,Jenson Button,1
958,2015,Jenson Button,0
959,2016,Jenson Button,1
960,2014,Fernando Alonso,1
961,2015,Fernando Alonso,0
963,2017,Fernando Alonso,0
964,2018,Fernando Alonso,1
965,2014,Valtteri Bottas,1
966,2015,Valtteri Bottas,1
967,2016,Valtteri Bottas,1
968,2017,Valtteri Bottas,1
970,2019,Valtteri Bottas,1
971,2020,Valtteri Bottas,1
972,2020,Valtteri Bottas,1
973,2014,Nico Hülkenberg,1
974,2015,Nico Hülkenberg,1
976,2017,Nico Hülkenberg,1
978,2019,Nico Hülkenberg,1
979,2014,Kimi Räikkönen,1
980,2015,Kimi Räikkönen,0
981,2016,Kimi Räikkönen,1
982,2017,Kimi Räikkönen,1
983,2018,Kimi Räikkönen,1
984,2019,Kimi Räikkönen,1
986,2020,Kimi Räikkönen,1
989,2015,Daniil Kvyat,1
990,2016,Daniil Kvyat,0
991,2017,Daniil Kvyat,1
992,2019,Daniil Kvyat,1
994,2020,Daniil Kvyat,1
995,2014,Sergio Pérez,1
996,2015,Sergio Pérez,1
998,2017,Sergio Pérez,1
999,2018,Sergio Pérez,1
1000,2019,Sergio Pérez,1
1001,2020,Sergio Pérez,1
1002,2020,Sergio Pérez,1
1003,2014,Adrian Sutil,1
1004,2014,Esteban Gutiérrez,1
1005,2016,Esteban Gutiérrez,1
1006,2014,Max Chilton,1
1007,2014,Jules Bianchi,1
1008,2014,Romain Grosjean,1
1010,2016,Romain Grosjean,1
1011,2017,Romain Grosjean,1
1012,2018,Romain Grosjean,1
1013,2019,Romain Grosjean,1
1015,2020,Romain Grosjean,1
1016,2014,Pastor Maldonado,1
1017,2015,Pastor Maldonado,1
1018,2014,Marcus Ericsson,1
1019,2015,Marcus Ericsson,1
1020,2016,Marcus Ericsson,1
1021,2017,Marcus Ericsson,1
1022,2018,Marcus Ericsson,1
1024,2015,Sebastian Vettel,1
1025,2016,Sebastian Vettel,0
1026,2017,Sebastian Vettel,1
1027,2018,Sebastian Vettel,1
1028,2019,Sebastian Vettel,1
1029,2020,Sebastian Vettel,1
1030,2020,Sebastian Vettel,0
1031,2014,Lewis Hamilton,1
1032,2015,Lewis Hamilton,1
1033,2016,Lewis Hamilton,1
1034,2017,Lewis Hamilton,1
1036,2019,Lewis Hamilton,1
1037,2020,Lewis Hamilton,1
1038,2020,Lewis Hamilton,1
1039,2014,Felipe Massa,1
1040,2015,Felipe Massa,1
1042,2017,Felipe Massa,1
1043,2014,Kamui Kobayashi,1
1044,2014,Daniel Ricciardo,1
1045,2015,Daniel Ricciardo,1
1046,2016,Daniel Ricciardo,1
1047,2017,Daniel Ricciardo,1
1049,2019,Daniel Ricciardo,1
1051,2020,Daniel Ricciardo,1
1053,2015,Felipe Nasr,1
1054,2016,Felipe Nasr,1
1056,2016,Carlos Sainz,1
1058,2018,Carlos Sainz,1
1059,2019,Carlos Sainz,1
1060,2020,Carlos Sainz,1
1061,2020,Carlos Sainz,1
1062,2015,Max Verstappen,1
1063,2016,Max Verstappen,1
1064,2017,Max Verstappen,0
1065,2018,Max Verstappen,1
1066,2019,Max Verstappen,1
