,constructor,fault
627,ferrari,1
628,alphatauri,1
629,red_bull,1
631,red_bull,1
632,red_bull,1
633,red_bull,1
634,red_bull,1
635,manor,1
636,renault,1
637,renault,1
638,manor,1
639,alfa,1
640,manor,1
642,mclaren,0
643,racing_point,1
644,racing_point,0
645,renault,1
646,renault,1
647,alfa,1
648,alfa,1
649,alfa,1
650,williams,1
651,williams,1
653,racing_point,1
654,racing_point,1
656,red_bull,1
657,alphatauri,1
658,alphatauri,1
659,alphatauri,1
660,alfa,1
661,ferrari,1
662,ferrari,0
663,ferrari,1
664,williams,1
666,mclaren,1
667,mclaren,1
668,alphatauri,1
669,red_bull,1
670,williams,1
671,williams,1
672,williams,1
673,williams,1
674,williams,1
675,williams,1
676,alphatauri,0
677,haas,1
678,haas,1
679,mercedes,1
680,mercedes,1
681,mercedes,1
682,mclaren,1
684,haas,1
685,haas,1
686,haas,1
687,mclaren,1
688,mclaren,1
689,mclaren,1
691,ferrari,1
692,mclaren,0
693,mclaren,1
694,mclaren,0
695,renault,1
696,williams,0
697,williams,1
698,williams,1
699,mercedes,1
700,mercedes,1
701,mercedes,1
702,mercedes,0
703,racing_point,1
704,racing_point,1
705,racing_point,1
706,renault,0
707,renault,1
708,renault,1
709,ferrari,1
710,ferrari,1
712,ferrari,1
713,ferrari,1
714,alfa,1
715,alfa,1
716,alphatauri,0
717,alphatauri,0
718,red_bull,1
721,alphatauri,1
723,racing_point,1
724,racing_point,1
725,racing_point,1
726,racing_point,1
727,racing_point,1
728,red_bull,1
731,haas,1
732,manor,1
733,manor,1
734,renault,1
735,renault,1
736,haas,1
737,haas,1
738,haas,1
739,haas,1
741,renault,0
742,caterham,1
743,alfa,1
746,alfa,1
747,red_bull,0
748,ferrari,1
749,ferrari,1
750,ferrari,1
751,ferrari,1
752,ferrari,1
753,racing_point,1
754,mercedes,1
755,mercedes,1
756,mercedes,1
757,mercedes,1
758,mercedes,1
759,mercedes,1
760,mercedes,1
761,williams,1
762,williams,1
763,williams,1
764,williams,1
765,caterham,1
766,red_bull,1
767,red_bull,1
768,red_bull,1
769,red_bull,1
770,red_bull,1
771,renault,1
772,mclaren,1
773,manor,1
774,alfa,1
776,alphatauri,1
777,alphatauri,1
778,alphatauri,1
779,renault,1
780,mclaren,1
781,ferrari,1
784,red_bull,1
785,red_bull,1
786,red_bull,1
787,red_bull,1
788,manor,1
790,renault,1
791,manor,1
793,manor,1
795,mclaren,1
796,racing_point,1
797,racing_point,1
798,renault,1
799,alfa,1
800,alfa,1
801,williams,0
802,williams,1
803,racing_point,1
804,racing_point,1
805,alphatauri,1
806,red_bull,1
807,alphatauri,1
811,ferrari,0
812,williams,1
813,mclaren,1
814,mclaren,1
815,alphatauri,1
816,williams,1
817,williams,1
818,williams,1
819,williams,1
820,alphatauri,1
821,haas,1
822,haas,1
823,mercedes,1
824,mercedes,1
825,mercedes,1
826,mclaren,1
827,renault,1
828,haas,1
829,haas,1
830,haas,1
831,mclaren,1
833,mclaren,0
834,ferrari,1
835,mclaren,0
836,mclaren,1
837,mclaren,0
838,mclaren,0
839,williams,1
840,williams,1
841,williams,1
842,mercedes,1
843,mercedes,1
844,mercedes,1
845,racing_point,1
846,racing_point,1
847,racing_point,1
848,renault,1
849,renault,1
850,renault,1
851,ferrari,1
852,ferrari,1
853,ferrari,1
854,ferrari,1
855,ferrari,1
856,alfa,1
857,alphatauri,1
858,alphatauri,0
859,red_bull,1
860,alphatauri,1
861,alphatauri,0
862,alphatauri,1
864,racing_point,1
865,racing_point,1
866,racing_point,1
867,racing_point,1
868,racing_point,1
869,alfa,1
870,alfa,0
871,haas,1
875,renault,1
876,haas,1
877,haas,1
878,haas,1
879,haas,1
880,renault,0
881,renault,1
882,caterham,0
883,alfa,1
884,alfa,1
885,alfa,1
886,alfa,1
887,red_bull,1
888,ferrari,1
889,ferrari,1
890,ferrari,1
891,ferrari,1
892,ferrari,1
893,mercedes,0
894,mercedes,1
895,mercedes,1
896,mercedes,1
897,mercedes,1
898,mercedes,1
900,williams,1
903,caterham,0
904,red_bull,1
905,red_bull,1
906,red_bull,1
907,red_bull,1
908,red_bull,1
909,renault,1
910,manor,1
911,alfa,1
912,alfa,1
913,alphatauri,1
914,alphatauri,1
