,season,round,race_name,name,constructor,grid,qual_position,q_best,q_worst,q_mean,ageDuringRace,circuitId,locality,country,type,direction,length,weather,finish_position,points,filled_splits
11,2014,1,australian,Esteban Gutiérrez,alfa,20.0,19.0,95.117,95.117,95.117,8259 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",12.0,0.0,85.91600000000017
12,2014,1,australian,Max Chilton,manor,17.0,17.0,94.293,94.293,94.293,8365 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",13.0,0.0,171.83200000000033
13,2014,1,australian,Jules Bianchi,manor,18.0,18.0,94.794,94.794,94.794,8991 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",14.0,0.0,687.3280000000013
14,2014,1,australian,Romain Grosjean,renault,22.0,21.0,96.993,96.993,96.993,10195 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",15.0,0.0,85.91600000000017
16,2014,1,australian,Marcus Ericsson,caterham,19.0,20.0,95.157,95.157,95.157,8596 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",17.0,0.0,85.91600000000017
17,2014,1,australian,Sebastian Vettel,red_bull,12.0,13.0,91.931,104.688,98.3095,9753 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",18.0,0.0,85.91600000000017
18,2014,1,australian,Lewis Hamilton,mercedes,1.0,1.0,91.699,104.231,99.60666666666667,10660 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",19.0,0.0,85.91600000000017
19,2014,1,australian,Felipe Massa,williams,9.0,9.0,91.228,108.079,101.18299999999999,12013 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",20.0,0.0,85.91600000000017
20,2014,1,australian,Kamui Kobayashi,caterham,14.0,15.0,94.274,105.867,100.07050000000001,10046 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",21.0,0.0,85.91600000000017
21,2014,1,australian,Daniel Ricciardo,red_bull,2.0,2.0,90.775,104.548,99.206,9024 days,albert_park,Melbourne,Australia,Street circuit,Clockwise,5.303,"overcast, 19°c (66°f) dry",22.0,0.0,24.524999999999636
22,2014,2,malaysian,Lewis Hamilton,mercedes,1.0,1.0,117.202,119.431,118.55799999999999,10674 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",1.0,25.0,0.0
23,2014,2,malaysian,Nico Rosberg,mercedes,3.0,3.0,117.183,120.05,118.89266666666667,10503 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",2.0,18.0,17.313000000000102
24,2014,2,malaysian,Sebastian Vettel,red_bull,2.0,2.0,117.654,119.486,118.84633333333333,9767 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",3.0,15.0,24.53399999999965
25,2014,2,malaysian,Fernando Alonso,ferrari,4.0,4.0,118.889,121.356,120.14,11932 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",4.0,12.0,35.99200000000019
26,2014,2,malaysian,Nico Hülkenberg,racing_point,7.0,7.0,118.883,121.712,120.478,9720 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",5.0,10.0,47.198999999999614
27,2014,2,malaysian,Jenson Button,mclaren,10.0,10.0,120.889,124.053,122.25066666666667,12489 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",6.0,8.0,83.6909999999998
28,2014,2,malaysian,Felipe Massa,williams,13.0,13.0,120.047,122.46,121.2535,12027 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",7.0,6.0,85.07600000000002
29,2014,2,malaysian,Valtteri Bottas,williams,18.0,15.0,119.709,122.756,121.2325,8980 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",8.0,4.0,85.53700000000026
30,2014,2,malaysian,Kevin Magnussen,mclaren,8.0,8.0,120.356,122.213,121.55433333333333,7846 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",9.0,2.0,85.53700000000026
31,2014,2,malaysian,Daniil Kvyat,alphatauri,11.0,11.0,121.175,122.351,121.763,7278 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",10.0,1.0,85.53700000000026
32,2014,2,malaysian,Romain Grosjean,renault,15.0,16.0,120.202,122.885,121.5435,10209 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",11.0,0.0,85.53700000000026
33,2014,2,malaysian,Kimi Räikkönen,ferrari,6.0,6.0,119.257,121.532,120.669,12583 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",12.0,0.0,85.53700000000026
34,2014,2,malaysian,Kamui Kobayashi,caterham,20.0,20.0,123.595,123.595,123.595,10060 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",13.0,0.0,85.53700000000026
35,2014,2,malaysian,Marcus Ericsson,caterham,22.0,22.0,124.407,124.407,124.407,8610 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",14.0,0.0,171.07400000000052
36,2014,2,malaysian,Max Chilton,manor,21.0,21.0,124.388,124.388,124.388,8379 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",15.0,0.0,171.07400000000052
37,2014,2,malaysian,Daniel Ricciardo,red_bull,5.0,5.0,118.913,120.541,119.867,9038 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",16.0,0.0,85.53700000000026
38,2014,2,malaysian,Esteban Gutiérrez,alfa,12.0,12.0,121.134,122.369,121.7515,8273 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",17.0,0.0,85.53700000000026
39,2014,2,malaysian,Adrian Sutil,alfa,17.0,18.0,122.131,122.131,122.131,11401 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",18.0,0.0,85.53700000000026
40,2014,2,malaysian,Jean-Éric Vergne,alphatauri,9.0,9.0,121.689,123.078,122.28766666666667,8740 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",19.0,0.0,85.53700000000026
41,2014,2,malaysian,Jules Bianchi,manor,19.0,19.0,122.702,122.702,122.702,9005 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",20.0,0.0,85.53700000000026
42,2014,2,malaysian,Pastor Maldonado,renault,16.0,17.0,122.074,122.074,122.074,10613 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",21.0,0.0,85.53700000000026
43,2014,2,malaysian,Sergio Pérez,racing_point,14.0,14.0,120.076,122.511,121.2935,8829 days,sepang,Kuala Lumpur,Malaysia,Race circuit,Clockwise,5.543,"dry , 32°c dry",22.0,0.0,85.53700000000026
44,2014,3,bahrain,Lewis Hamilton,mercedes,2.0,2.0,93.464,95.323,94.21966666666667,10681 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,1.0,25.0,0.0
45,2014,3,bahrain,Nico Rosberg,mercedes,1.0,1.0,93.185,95.439,94.11066666666666,10510 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,2.0,18.0,1.0850000000000364
46,2014,3,bahrain,Sergio Pérez,racing_point,4.0,5.0,94.346,94.998,94.697,8836 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,3.0,15.0,24.067000000000007
47,2014,3,bahrain,Daniel Ricciardo,red_bull,13.0,3.0,94.051,96.22,94.95433333333334,9045 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,4.0,12.0,24.488999999999578
48,2014,3,bahrain,Nico Hülkenberg,racing_point,11.0,12.0,94.874,95.116,94.995,9727 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,5.0,10.0,28.65399999999954
49,2014,3,bahrain,Sebastian Vettel,red_bull,10.0,11.0,94.985,95.549,95.267,9774 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,6.0,8.0,29.878999999999905
50,2014,3,bahrain,Felipe Massa,williams,7.0,8.0,94.511,95.085,94.81266666666666,12034 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,7.0,6.0,31.264999999999418
51,2014,3,bahrain,Valtteri Bottas,williams,3.0,4.0,94.247,94.934,94.67433333333334,8987 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,8.0,4.0,31.875999999999294
52,2014,3,bahrain,Fernando Alonso,ferrari,9.0,10.0,94.723,95.251,94.98866666666667,11939 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,9.0,2.0,32.594999999999345
53,2014,3,bahrain,Kimi Räikkönen,ferrari,5.0,6.0,94.368,95.234,94.84233333333333,12590 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,10.0,1.0,33.461999999999534
54,2014,3,bahrain,Daniil Kvyat,alphatauri,12.0,13.0,95.145,95.395,95.27,7285 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,11.0,0.0,41.34199999999964
55,2014,3,bahrain,Romain Grosjean,renault,16.0,16.0,95.908,96.654,96.281,10216 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,12.0,0.0,43.14300000000003
56,2014,3,bahrain,Max Chilton,manor,21.0,22.0,97.913,97.913,97.913,8386 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,13.0,0.0,59.90899999999965
57,2014,3,bahrain,Pastor Maldonado,renault,17.0,17.0,96.663,96.663,96.663,10620 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,14.0,0.0,62.802999999999884
58,2014,3,bahrain,Kamui Kobayashi,caterham,18.0,19.0,97.085,97.085,97.085,10067 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,15.0,0.0,87.89999999999964
59,2014,3,bahrain,Jules Bianchi,manor,19.0,20.0,97.31,97.31,97.31,9012 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,16.0,0.0,87.89999999999964
60,2014,3,bahrain,Jenson Button,mclaren,6.0,7.0,94.387,95.699,94.93333333333334,12496 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,17.0,0.0,87.89999999999964
61,2014,3,bahrain,Kevin Magnussen,mclaren,8.0,9.0,94.712,95.288,94.968,7853 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,18.0,0.0,87.89999999999964
62,2014,3,bahrain,Esteban Gutiérrez,alfa,15.0,15.0,95.891,96.567,96.229,8280 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,19.0,0.0,87.89999999999964
63,2014,3,bahrain,Marcus Ericsson,caterham,20.0,21.0,97.875,97.875,97.875,8617 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,20.0,0.0,87.89999999999964
64,2014,3,bahrain,Jean-Éric Vergne,alphatauri,14.0,14.0,95.286,95.815,95.5505,8747 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,21.0,0.0,87.89999999999964
65,2014,3,bahrain,Adrian Sutil,alfa,22.0,18.0,96.84,96.84,96.84,11408 days,bahrain,Sakhir,Bahrain,Race circuit,Clockwise,5.412,dry  ,22.0,0.0,87.89999999999964
66,2014,4,chinese,Lewis Hamilton,mercedes,1.0,1.0,113.86,115.516,114.46833333333335,10695 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",1.0,25.0,0.0
67,2014,4,chinese,Nico Rosberg,mercedes,4.0,4.0,115.143,116.058,115.49833333333333,10524 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",2.0,18.0,18.061999999999898
68,2014,4,chinese,Fernando Alonso,ferrari,5.0,5.0,115.637,116.961,116.121,11953 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",3.0,15.0,23.60400000000027
69,2014,4,chinese,Daniel Ricciardo,red_bull,2.0,2.0,114.455,116.641,115.46600000000001,9059 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",4.0,12.0,27.136000000000422
70,2014,4,chinese,Sebastian Vettel,red_bull,3.0,3.0,114.499,115.926,115.12833333333333,9788 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",5.0,10.0,47.77800000000025
71,2014,4,chinese,Nico Hülkenberg,racing_point,8.0,8.0,115.913,116.847,116.37533333333333,9741 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",6.0,8.0,54.29500000000007
72,2014,4,chinese,Valtteri Bottas,williams,7.0,7.0,116.253,116.501,116.34533333333333,9001 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",7.0,6.0,55.697000000000116
73,2014,4,chinese,Kimi Räikkönen,ferrari,11.0,11.0,116.86,118.279,117.5695,12604 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",8.0,4.0,76.33500000000004
74,2014,4,chinese,Sergio Pérez,racing_point,16.0,16.0,118.264,118.362,118.31299999999999,8850 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",9.0,2.0,82.64699999999993
75,2014,4,chinese,Daniil Kvyat,alphatauri,13.0,13.0,117.261,117.289,117.275,7299 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",10.0,1.0,82.64699999999993
76,2014,4,chinese,Jenson Button,mclaren,12.0,12.0,116.963,117.783,117.37299999999999,12510 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",11.0,0.0,82.64699999999993
77,2014,4,chinese,Jean-Éric Vergne,alphatauri,9.0,9.0,116.584,117.477,116.94466666666666,8761 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",12.0,0.0,82.64699999999993
78,2014,4,chinese,Kevin Magnussen,mclaren,15.0,15.0,117.369,117.675,117.52199999999999,7867 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",13.0,0.0,82.64699999999993
80,2014,4,chinese,Felipe Massa,williams,6.0,6.0,116.147,116.85,116.58466666666668,12048 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",15.0,0.0,82.64699999999993
81,2014,4,chinese,Esteban Gutiérrez,alfa,17.0,17.0,118.988,118.988,118.988,8294 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",16.0,0.0,82.64699999999993
82,2014,4,chinese,Jules Bianchi,manor,19.0,19.0,119.326,119.326,119.326,9026 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",17.0,0.0,82.64699999999993
83,2014,4,chinese,Kamui Kobayashi,caterham,18.0,18.0,119.26,119.26,119.26,10081 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",18.0,0.0,82.64699999999993
84,2014,4,chinese,Max Chilton,manor,21.0,21.0,120.865,120.865,120.865,8400 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",19.0,0.0,165.29399999999987
85,2014,4,chinese,Marcus Ericsson,caterham,20.0,20.0,120.646,120.646,120.646,8631 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",20.0,0.0,165.29399999999987
86,2014,4,chinese,Romain Grosjean,renault,10.0,10.0,116.407,118.411,117.29899999999999,10230 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",21.0,0.0,82.64699999999993
87,2014,4,chinese,Adrian Sutil,alfa,14.0,14.0,117.393,118.138,117.7655,11422 days,shanghai,Shanghai,China,Race circuit,Clockwise,5.451,"mostly cloudy , dry  ",22.0,0.0,82.64699999999993
88,2014,5,spanish,Lewis Hamilton,mercedes,1.0,1.0,85.232,87.238,86.22666666666665,10716 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,1.0,25.0,0.0
89,2014,5,spanish,Nico Rosberg,mercedes,2.0,2.0,85.4,86.764,86.08399999999999,10545 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,2.0,18.0,0.636000000000422
90,2014,5,spanish,Daniel Ricciardo,red_bull,3.0,3.0,86.285,88.053,86.98366666666668,9080 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,3.0,15.0,49.014000000000124
91,2014,5,spanish,Sebastian Vettel,red_bull,15.0,10.0,87.052,87.958,87.505,9809 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,4.0,12.0,76.70200000000023
92,2014,5,spanish,Valtteri Bottas,williams,4.0,4.0,86.632,88.198,87.46433333333334,9022 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,5.0,10.0,79.29300000000057
93,2014,5,spanish,Fernando Alonso,ferrari,7.0,7.0,87.14,88.329,87.69033333333333,11974 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,6.0,8.0,87.7430000000004
94,2014,5,spanish,Kimi Räikkönen,ferrari,6.0,6.0,87.104,88.308,87.58233333333334,12625 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,7.0,6.0,87.7430000000004
95,2014,5,spanish,Romain Grosjean,renault,5.0,5.0,86.96,88.472,87.56333333333333,10251 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,8.0,4.0,87.7430000000004
96,2014,5,spanish,Sergio Pérez,racing_point,11.0,12.0,88.002,88.469,88.2355,8871 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,9.0,2.0,87.7430000000004
97,2014,5,spanish,Nico Hülkenberg,racing_point,10.0,11.0,87.685,88.155,87.92,9762 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,10.0,1.0,87.7430000000004
98,2014,5,spanish,Jenson Button,mclaren,8.0,8.0,87.335,88.279,87.728,12531 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,11.0,0.0,87.7430000000004
99,2014,5,spanish,Kevin Magnussen,mclaren,14.0,15.0,88.389,88.389,88.389,7888 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,12.0,0.0,87.7430000000004
100,2014,5,spanish,Felipe Massa,williams,9.0,9.0,87.016,88.061,87.493,12069 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,13.0,0.0,87.7430000000004
101,2014,5,spanish,Daniil Kvyat,alphatauri,12.0,13.0,88.039,88.074,88.0565,7320 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,14.0,0.0,87.7430000000004
103,2014,5,spanish,Esteban Gutiérrez,alfa,13.0,14.0,88.28,88.374,88.327,8315 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,16.0,0.0,87.7430000000004
104,2014,5,spanish,Adrian Sutil,alfa,16.0,17.0,88.563,88.563,88.563,11443 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,17.0,0.0,87.7430000000004
105,2014,5,spanish,Jules Bianchi,manor,18.0,19.0,90.177,90.177,90.177,9047 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,18.0,0.0,175.4860000000008
106,2014,5,spanish,Max Chilton,manor,17.0,18.0,89.586,89.586,89.586,8421 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,19.0,0.0,175.4860000000008
107,2014,5,spanish,Marcus Ericsson,caterham,19.0,20.0,90.312,90.312,90.312,8652 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,20.0,0.0,175.4860000000008
108,2014,5,spanish,Kamui Kobayashi,caterham,20.0,21.0,90.375,90.375,90.375,10102 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,21.0,0.0,87.7430000000004
109,2014,5,spanish,Jean-Éric Vergne,alphatauri,21.0,16.0,88.194,88.194,88.194,8782 days,catalunya,Montmeló,Spain,Race circuit,Clockwise,4.675,sunny  ,22.0,0.0,87.7430000000004
110,2014,6,monaco,Nico Rosberg,mercedes,1.0,1.0,75.989,77.678,76.71066666666667,10559 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",1.0,25.0,0.0
111,2014,6,monaco,Lewis Hamilton,mercedes,2.0,2.0,76.048,77.823,76.74166666666666,10730 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",2.0,18.0,9.210000000000036
112,2014,6,monaco,Daniel Ricciardo,red_bull,3.0,3.0,76.384,77.9,77.17233333333333,9094 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",3.0,15.0,9.613999999999578
113,2014,6,monaco,Fernando Alonso,ferrari,5.0,5.0,76.686,77.853,77.24633333333334,11988 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",4.0,12.0,32.452000000000226
114,2014,6,monaco,Nico Hülkenberg,racing_point,11.0,11.0,77.846,78.432,78.13900000000001,9776 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",5.0,10.0,32.452000000000226
115,2014,6,monaco,Jenson Button,mclaren,12.0,12.0,77.89,77.988,77.939,12545 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",6.0,8.0,32.452000000000226
116,2014,6,monaco,Felipe Massa,williams,16.0,16.0,78.209,78.209,78.209,12083 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",7.0,6.0,32.452000000000226
117,2014,6,monaco,Romain Grosjean,renault,14.0,14.0,78.196,78.335,78.2655,10265 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",8.0,4.0,32.452000000000226
118,2014,6,monaco,Jules Bianchi,manor,21.0,19.0,79.332,79.332,79.332,9061 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",9.0,2.0,32.452000000000226
119,2014,6,monaco,Kevin Magnussen,mclaren,8.0,8.0,77.555,77.978,77.714,7902 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",10.0,1.0,32.452000000000226
120,2014,6,monaco,Marcus Ericsson,caterham,22.0,22.0,81.732,81.732,81.732,8666 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",11.0,0.0,32.452000000000226
121,2014,6,monaco,Kimi Räikkönen,ferrari,6.0,6.0,77.389,77.902,77.563,12639 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",12.0,0.0,32.452000000000226
122,2014,6,monaco,Kamui Kobayashi,caterham,20.0,21.0,80.133,80.133,80.133,10116 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",13.0,0.0,64.90400000000045
123,2014,6,monaco,Max Chilton,manor,19.0,20.0,79.928,79.928,79.928,8435 days,monaco,Monte-Carlo,Monaco,Street circuit,Clockwise,3.337,"overcast, air  20.5°c  (69.0°f), track  29.0°c  (84.0°f). ",14.0,0.0,97.35600000000068
