,season,name,fault
422,2017,Kimi Räikkönen,0
423,2018,Kimi Räikkönen,0
424,2019,Kimi Räikkönen,0
425,2014,Jean-Éric Vergne,0
426,2014,Daniil Kvyat,0
428,2016,Daniil Kvyat,0
430,2019,Daniil Kvyat,1
431,2014,Sergio Pérez,0
432,2015,Sergio Pérez,0
433,2016,Sergio Pérez,0
434,2017,Sergio Pérez,0
435,2018,Sergio Pérez,0
436,2019,Sergio Pérez,0
438,2014,Esteban Gutiérrez,0
439,2016,Esteban Gutiérrez,0
440,2014,Max Chilton,0
441,2014,Jules Bianchi,0
443,2015,Romain Grosjean,0
444,2016,Romain Grosjean,0
445,2017,Romain Grosjean,0
446,2018,Romain Grosjean,0
447,2019,Romain Grosjean,0
448,2014,Pastor Maldonado,0
450,2014,Marcus Ericsson,0
451,2015,Marcus Ericsson,0
452,2016,Marcus Ericsson,0
453,2017,Marcus Ericsson,0
454,2018,Marcus Ericsson,0
455,2014,Sebastian Vettel,0
456,2015,Sebastian Vettel,0
457,2016,Sebastian Vettel,0
458,2017,Sebastian Vettel,0
459,2018,Sebastian Vettel,0
460,2019,Sebastian Vettel,0
461,2014,Lewis Hamilton,0
462,2015,Lewis Hamilton,0
463,2016,Lewis Hamilton,0
464,2017,Lewis Hamilton,0
465,2018,Lewis Hamilton,0
466,2019,Lewis Hamilton,0
467,2014,Felipe Massa,0
468,2015,Felipe Massa,0
469,2016,Felipe Massa,0
470,2017,Felipe Massa,0
471,2014,Kamui Kobayashi,0
472,2014,Daniel Ricciardo,0
473,2015,Daniel Ricciardo,0
474,2016,Daniel Ricciardo,0
475,2017,Daniel Ricciardo,0
476,2018,Daniel Ricciardo,0
477,2019,Daniel Ricciardo,0
478,2015,Will Stevens,0
479,2015,Felipe Nasr,0
480,2016,Felipe Nasr,0
481,2015,Carlos Sainz,0
482,2016,Carlos Sainz,0
483,2017,Carlos Sainz,0
484,2018,Carlos Sainz,0
485,2019,Carlos Sainz,0
487,2016,Max Verstappen,0
488,2017,Max Verstappen,0
489,2018,Max Verstappen,0
490,2019,Max Verstappen,0
